x,y,value
0.0,-1.2769220201065756,0.48275862068965525
0.011157446116239807,-1.2769220201065756,0.48275862068965525
0.0223148922324799,-1.2769220201065756,0.48275862068965525
0.03347233834871971,-1.2769220201065756,0.48275862068965525
0.0446297844649598,-1.2769220201065756,0.48275862068965525
0.0557872305811996,-1.2769220201065756,0.48275862068965525
0.0669446766974397,-1.2769220201065756,0.48275862068965525
0.07810212281367951,-1.2769220201065756,0.48275862068965525
0.0892595689299196,-1.2769220201065756,0.48275862068965525
0.10041701504615941,-1.2769220201065756,0.48275862068965525
0.1115744611623995,-1.2769220201065756,0.48275862068965525
0.12273190727863931,-1.2769220201065756,0.48275862068965525
0.1338893533948794,-1.2769220201065756,0.48275862068965525
0.1450467995111192,-1.2769220201065756,0.48275862068965525
0.15620424562735902,-1.2769220201065756,0.48275862068965525
0.1673616917435991,-1.2769220201065756,0.48275862068965525
0.17851913785983892,-1.2769220201065756,0.48275862068965525
0.18967658397607903,-1.2769220201065756,0.48275862068965525
0.20083403009231882,-1.2769220201065756,0.48275862068965525
0.2119914762085589,-1.2769220201065756,0.48275862068965525
0.22314892232479872,-1.2769220201065756,0.48275862068965525
0.2343063684410388,-1.2769220201065756,0.48275862068965525
0.24546381455727861,-1.2769220201065756,0.48275862068965525
0.2566212606735184,-1.2769220201065756,0.48275862068965525
0.2677787067897585,-1.2769220201065756,0.48275862068965525
0.2789361529059986,-1.2769220201065756,0.48275862068965525
0.2900935990222384,-1.2769220201065756,0.48275862068965525
0.3012510451384782,-1.2769220201065756,0.48275862068965525
0.3124084912547183,-1.2769220201065756,0.48275862068965525
0.3235659373709581,-1.2769220201065756,0.48275862068965525
0.3347233834871982,-1.2769220201065756,0.48275862068965525
0.345880829603438,-1.2769220201065756,0.48275862068965525
0.35703827571967783,-1.2769220201065756,0.48275862068965525
0.3681957218359179,-1.2769220201065756,0.48275862068965525
0.37935316795215807,-1.2769220201065756,0.48275862068965525
0.3905106140683978,-1.2769220201065756,0.48275862068965525
0.40166806018463763,-1.2769220201065756,0.48275862068965525
0.4128255063008777,-1.2769220201065756,0.48275862068965525
0.4239829524171178,-1.2769220201065756,0.48275862068965525
0.43514039853335756,-1.2769220201065756,0.48275862068965525
0.44629784464959743,-1.2769220201065756,0.48275862068965525
0.4574552907658375,-1.2769220201065756,0.48275862068965525
0.4686127368820774,-1.2769220201065756,0.48275862068965525
0.4797701829983175,-1.2769220201065756,0.48275862068965525
0.49092762911455723,-1.2769220201065756,0.48275862068965525
0.5020850752307973,-1.2769220201065756,0.48275862068965525
